"52","P-01042019-497","P-01042019-4977530"
"53","P-01052019-616","P-01052019-6162282"
"54","P-01052019-617","P-01052019-6174205"
"55","P-01052019-617","P-01052019-6178207"
"56","P-01052019-617","P-01052019-6178657"
"57","P-01052019-618","P-01052019-6182357"
"58","P-01052019-618","P-01052019-6188019"
"59","P-01052019-618","P-01052019-6189506"
"60","P-01052019-618","P-01052019-6189982"
"61","P-01052019-619","P-01052019-6196540"
"62","P-01052019-619","P-01052019-6198961"
"63","P-01052019-620","P-01052019-6201591"
"64","P-01052019-620","P-01052019-6208896"
"65","P-01052019-621","P-01052019-6212178"
"66","P-01052019-621","P-01052019-6219861"
"67","P-01052019-622","P-01052019-6221504"
"68","P-01052019-622","P-01052019-6221570"
"69","P-01052019-623","P-01052019-6232327"
"70","P-01052019-623","P-01052019-6237618"
"71","P-01052019-624","P-01052019-6245890"
"72","P-01052019-624","P-01052019-6247700"
"73","P-01052019-624","P-01052019-6248130"
"74","P-01052019-624","P-01052019-6249100"
"75","P-01052019-625","P-01052019-6252839"
"76","P-01052019-625","P-01052019-6258968"
"77","P-01052019-626","P-01052019-6266194"
"78","P-01052019-626","P-01052019-6268942"
"995","P-01062019-772","P-01062019-7725836"
"999","P-01062019-773","P-01062019-7735205"
"997","P-01062019-773","P-01062019-7736260"
"996","P-01062019-773","P-01062019-7736957"
"998","P-01062019-773","P-01062019-7738612"
"1306","P-01072019-941","P-01072019-9416579"
"1307","P-01072019-942","P-01072019-9421988"
"1309","P-01072019-943","P-01072019-9431430"
"1310","P-01072019-943","P-01072019-9439305"
"1408","P-01072019-944","P-01072019-9444580"
"1410","P-01072019-944","P-01072019-9445280"
"1409","P-01072019-944","P-01072019-9446795"
"1411","P-01072019-944","P-01072019-9447447"
"1412","P-01072019-944","P-01072019-9448299"
"1313","P-01072019-945","P-01072019-9451463"
"1318","P-01072019-946","P-01072019-9468318"
"1315","P-01072019-947","P-01072019-9474676"
"1316","P-01072019-948","P-01072019-9482411"
"1317","P-01072019-949","P-01072019-9495796"
"1319","P-01072019-950","P-01072019-9509030"
"79","P-02012019-207","P-02012019-2072836"
"80","P-02012019-207","P-02012019-2074268"
"81","P-02012019-208","P-02012019-2081860"
"82","P-02012019-208","P-02012019-2086036"
"83","P-02012019-209","P-02012019-2093128"
"84","P-02042019-498","P-02042019-4983482"
"85","P-02052019-627","P-02052019-6271150"
"86","P-02052019-627","P-02052019-6276195"
"87","P-02052019-628","P-02052019-6283562"
"88","P-02052019-628","P-02052019-6284125"
"89","P-02052019-628","P-02052019-6286747"
"90","P-02052019-628","P-02052019-6287876"
"91","P-02052019-628","P-02052019-6289881"
"92","P-02052019-629","P-02052019-6296491"
"93","P-02052019-630","P-02052019-6302511"
"94","P-02052019-630","P-02052019-6304033"
"95","P-02052019-630","P-02052019-6304456"
"96","P-02052019-630","P-02052019-6305988"
"97","P-02052019-630","P-02052019-6306674"
"98","P-02052019-631","P-02052019-6316336"
"99","P-02052019-631","P-02052019-6316957"
"100","P-02052019-631","P-02052019-6319154"
"101","P-02052019-632","P-02052019-6321943"
"102","P-02052019-632","P-02052019-6326566"
"103","P-02052019-632","P-02052019-6327203"
"104","P-02122018-93","P-02122018-936618"
"105","P-02122018-94","P-02122018-942275"
"106","P-03012019-210","P-03012019-2102239"
"107","P-03052019-633","P-03052019-6339156"
"108","P-04042019-499","P-04042019-4992670"
"109","P-04042019-500","P-04042019-5008722"
"110","P-04042019-501","P-04042019-5011759"
"111","P-04042019-502","P-04042019-5027637"
"112","P-04042019-503","P-04042019-5031531"
"113","P-04042019-504","P-04042019-5045358"
"114","P-04042019-505","P-04042019-5051986"
"115","P-04042019-506","P-04042019-5062277"
"116","P-04042019-507","P-04042019-5074946"
"117","P-04042019-508","P-04042019-5086217"
"118","P-04042019-509","P-04042019-5093017"
"119","P-04042019-510","P-04042019-5101572"
"120","P-04042019-511","P-04042019-5115793"
"121","P-04042019-512","P-04042019-5126971"
"122","P-04042019-513","P-04042019-5136961"
"123","P-04042019-514","P-04042019-5143583"
"124","P-04052019-634","P-04052019-6346044"
"125","P-04052019-635","P-04052019-6358090"
"126","P-04052019-636","P-04052019-6363093"
"127","P-04052019-637","P-04052019-6377022"
"128","P-04052019-638","P-04052019-6387960"
"129","P-04052019-639","P-04052019-6395497"
"130","P-05042019-515","P-05042019-5151026"
"131","P-05042019-515","P-05042019-5152264"
"132","P-05042019-515","P-05042019-5152832"
"133","P-05042019-515","P-05042019-5155602"
"134","P-05042019-515","P-05042019-5156871"
"135","P-05042019-515","P-05042019-5156999"
"136","P-05042019-515","P-05042019-5157134"
"137","P-05042019-515","P-05042019-5159293"
"138","P-05042019-516","P-05042019-5162930"
"139","P-05042019-517","P-05042019-5175990"
"140","P-05042019-518","P-05042019-5187115"
"141","P-05042019-519","P-05042019-5198952"
"142","P-05042019-520","P-05042019-5207046"
"143","P-05042019-521","P-05042019-5219383"
"144","P-05042019-522","P-05042019-5223222"
"145","P-05042019-523","P-05042019-5233006"
"146","P-05042019-524","P-05042019-5248278"
"147","P-05042019-525","P-05042019-5255920"
"148","P-05042019-526","P-05042019-5268800"
"149","P-05042019-527","P-05042019-5279880"
"150","P-05042019-528","P-05042019-5281003"
"151","P-05042019-528","P-05042019-5281372"
"152","P-05042019-528","P-05042019-5285216"
"153","P-05042019-528","P-05042019-5287596"
"1000","P-05062019-774","P-05062019-7741288"
"1001","P-05062019-774","P-05062019-7747809"
"1002","P-05062019-774","P-05062019-7749683"
"1006","P-05062019-775","P-05062019-7752315"
"1004","P-05062019-775","P-05062019-7752454"
"1005","P-05062019-775","P-05062019-7756507"
"1003","P-05062019-775","P-05062019-7757064"
"1007","P-05062019-776","P-05062019-7763907"
"1008","P-05062019-777","P-05062019-7775027"
"1009","P-05062019-778","P-05062019-7786029"
"1010","P-05062019-779","P-05062019-7797335"
"1011","P-05062019-780","P-05062019-7809572"
"1012","P-05062019-781","P-05062019-7815808"
