"C280220190097","23"
"C280320190119","40"
"C280320190120","15"
"C280520190232","97"
"C280520190233","38"
"C280520190234","97"
"C280520190235","44"
"C280520190236","57"
"C280520190237","87"
"C280620190332","9"
"C280720190497","28"
"C280720190498","7"
"C280720190499","26"
"C280720190500","95"
"C280720190501","16"
"C280720190502","4"
"C281120170012","72"
"C281120170013","54"
"C281120170014","72"
"C281120170015","1"
"C281120170016","83"
"C281120170017","48"
"C281220170019","34"
"C281220170020","69"
"C281220170021","26"
"C281220170022","41"
"C281220170023","13"
"C290320190121","78"
"C290420190137","92"
"C290520190238","2"
"C290520190239","96"
"C290520190240","5"
"C290620190333","89"
"C290620190334","45"
"C290620190335","93"
"C290620190336","23"
"C290720190503","16"
"C290720190504","88"
"C290720190505","39"
"C290720190506","81"
"C290720190507","57"
"C290720190508","2"
"C290720190509","29"
"C300120180029","59"
"C300120190088","73"
"C300520190241","45"
"C300520190242","79"
"C300520190243","35"
"C300520190244","82"
"C300520190245","21"
"C300620190337","100"
"C300620190338","23"
"C300720190510","4"
"C300720190511","17"
"C300720190512","12"
"C300720190513","1"
"C300720190514","22"
"C300720190515","35"
"C300720190516","23"
"C300720190517","36"
"C301220170024","90"
"C310120190089","88"
"C310520190246","58"
"C310520190247","42"
"C310720190518","57"
"C310720190519","89"
"C310720190520","34"
"C310720190521","27"
"C310720190522","33"
"C310720190523","56"
"C311220180038","25"
"C311220180039","86"
"C311220180040","46"
"C311220180041","29"
"C311220180042","56"
"C311220180043","76"
"C311220180044","31"
"C311220180045","31"
"C311220180046","78"
