"OD130220190097","C061220180035","2019-02-13 09:46:57","0","30","0","10","55",NULL,"96A1EAA8-4EE7-45E9-B5B5-5D5D83469DE9",NULL
"OD130220190098","C061220180035","2019-02-13 10:07:38","0","40","0","10","44",NULL,"9981CA05-A562-441D-BB39-1CDF4FC04CD6",NULL
"OD130220190099","C240720170001","2019-02-13 10:17:41","0","34","0","10","44",NULL,"98720048-F49B-4B19-98FE-E3E33A496EFB",NULL
"OD130220190100","C071220180037","2019-02-13 10:48:11","0","41","5","10","44",NULL,"813F455F-11BA-48C1-AD53-0C0EFB633975",NULL
"OD140220190101","C071220180037","2019-02-14 08:22:00","0","42","5","10","20",NULL,"2F44313D-DAF1-4464-B3A7-E52CA4555074",NULL
"OD140520190133","C061220180035","2019-05-14 14:53:22","0","58","5","0","1175",NULL,"378DAB95-8252-4530-9489-DCFC7A88482B","S8I09-8T05S-720XN-H19003"
"OD140520190134","C311220180041","2019-05-14 18:04:40","0","59","5","10","40.8",NULL,"825F3C8A-A978-4197-837C-1BC4E6D50560","SNI23-U304S-J20RT-W19002"
"OD140520190135","C140520190179","2019-05-14 21:39:22","0","60","0","10","55",NULL,"8405F02D-BDA8-45FB-9388-4630285D175A",NULL
"OD140520190136","C140520190179","2019-05-14 21:44:58","0","60","5","10","55",NULL,"94D03FBC-C430-4D61-AE4C-2CAC7E8D32E3",NULL
"OD140620190163","C140620190273","2019-06-14 12:37:14","0","79","0","0","1899",NULL,"3759A3FF-6916-4EED-A5FE-500491549352",NULL
"OD140620190164","C240720170001","2019-06-14 13:46:26","0","34","0","10","30",NULL,"EC1CF5E7-5736-484C-A954-C93845EF15F3",NULL
"OD140620190165","C140620190274","2019-06-14 20:49:34","0","80","0","10","65",NULL,"521B7C1D-7DC4-4C2A-A411-FC0E0CAD659F",NULL
"OD150120190084","C240720170001","2019-01-15 10:22:38","0","34","5","10","42",NULL,"AD1D53B4-B227-46F1-A26F-30AA9C0BCC63",NULL
"OD150120190085","C060120190060","2019-01-15 13:26:17","0","38","0","10","176",NULL,"5A73E33E-F0CD-47E3-9F8D-82A062EC5774",NULL
"OD150520190137","C150520190181","2019-05-15 16:19:04","0","61","0","10","15",NULL,"D276D455-A53B-4217-A9A7-20FFE72B1E07",NULL
"OD150620190166","C150620190280","2019-06-15 15:47:50","0","82","0","30","40",NULL,"CD428E5E-1A2B-40FF-B632-D493EF190F17",NULL
"OD150620190167","C150620190281","2019-06-15 20:53:40","0","83","0","0","1809",NULL,"2C6DD727-F19C-4EAA-AB8B-285E674D9EAD",NULL
"OD160520190138","C160520190183","2019-05-16 04:34:49","0","62","0","20","10",NULL,"A5A305D5-A906-403D-A6AA-3ED28C0B0376",NULL
"OD160620190168","C160620190284","2019-06-16 14:27:07","0","84","5","10","60",NULL,"17CC9BAC-762E-4154-8623-0AE05AF08FE1",NULL
"OD170420190119","C090120190064","2019-04-17 17:54:48","0","37","6","10","35",NULL,"F401879D-FD5C-4E77-AC5F-12A580C6278D",NULL
"OD170420190120","C090120190064","2019-04-17 18:17:50","0","37","6","10","35",NULL,"32F478BC-BCB9-48F2-8B42-A459CC736916",NULL
"OD170420190121","C090120190064","2019-04-17 18:22:07","0","37","5","10","35",NULL,"CB63A253-4351-4B48-AAA2-8C9F101BC697",NULL
